name,username,message,clusters,likes,comments,engajamento,url,time
ECOIMBÉ ● RS,ecoimbe.oficial,UMA IMAGEM QUE REFLETE A ALMA DE UMA PESSOA ATINGIDA PELOS ALAGAMENTOS NO RS //   As enchentes são fenômenos naturais poderosos que podem causar impactos devastadores nas comunidades. Quando as águas dos rios transbordam devido a fortes chuvas ou pelo deslizamento de terras e ruptura de barragens  áreas urbanas e rurais são frequentemente inundadas  resultando em perdas materiais  deslocamento de pessoas e até perdas de vidas.  Os efeitos de uma enchente são imediatos e duradouros. As águas invadem casas e empresas  destruindo tudo em seu caminho. Estradas se transformam em rios turbulentos  impossibilitando a locomoção e o acesso a serviços essenciais. As infraestruturas críticas  como sistemas de água e esgoto  são comprometidas  aumentando os riscos de doenças e agravando ainda mais a situação.  Além dos danos físicos  as enchentes têm um impacto emocional significativo nas pessoas afetadas. A sensação de perda  o medo da incerteza e a dificuldade de recuperação são sentimentos comuns em momentos como esse. As comunidades muitas vezes se unem para oferecer ajuda mútua  enquanto equipes de resgate e organizações de ajuda humanitária trabalham arduamente para fornecer suporte e assistência.  Prevenir e mitigar os efeitos das enchentes é um desafio constante. Planejamento urbano adequado  sistemas de alerta precoce eficazes e medidas de gestão de águas pluviais são algumas das estratégias para reduzir os impactos. No entanto  em muitos casos  a imprevisibilidade e a intensidade das chuvas extremas continuam a representar uma ameaça séria.  Em última análise  as enchentes servem como lembretes poderosos da força da natureza e da vulnerabilidade humana. Lidar com esses eventos requer não apenas uma resposta imediata e eficaz  mas também um compromisso contínuo com a resiliência comunitária e a sustentabilidade ambiental.  A imagem acima retrata a tristeza na alma de uma pessoa que está lutando diariamente para recuperar sua dignidade.   Imagem: Guardião <redacted_mention> Líder Gestor do <redacted_mention> ~  Texto: <redacted_mention> ~   #emergênciaclimática  #forçaquerênciaamada  #ecomensagem  #saoleopoldo #ecoimbé,Racismo ambiental e Enchente do Rio Grande do Sul,993,4,496,https://www.instagram.com/ecoimbe.oficial,2024-06-30T13:15:17-07:00
Jornal O Sul,jornal_osul,Alvo de recente decisão do Supremo Tribunal Federal (STF)  a atual legislação ambiental do Rio Grande do Sul deve agravar os prováveis futuros eventos climáticos extremos  segundo avaliação dos professores do Departamento de Ecologia da Universidade Federal do RS (UFRGS)  Gonçalo Ferraz e Fernando G. Becker.  “Essas leis colocadas em prática  se [forem] mantidas  vão facilitar a gravidade desses eventos extremos porque há uma facilitação muito grande em alterações do uso do espaço. Há diminuição de proteção de florestas e facilitações de processos que  acumulados  podem agravar uma futura situação de catástrofe”  disse o pesquisador Gonçalo.  Os pesquisadores argumentam que a atual lei ambiental facilita o uso do solo sem os devidos cuidados preventivos  em especial nas áreas ribeirinhas  às margens dos rios. Além disso  asseguram que a lei é muito permissiva com a supressão da vegetação  fragilizando ainda a atuação preventiva do estado na área ambiental.  Leia no Jornal o Sul e em osul.com.br (link na bio) ⠀⠀ #jornalOsul #leiambiental #ufrgs #stf #riograndedosul,Imprensa e redes sociais,358,56,179,https://www.instagram.com/jornal_osul,2024-06-30T05:22:16-07:00
Osni Cardoso,osnicardoso13,Famílias de 6 comunidades quilombolas de #Cachoeira foram contempladas com 1.142 CEFIRs (Cadastro Estadual Florestal de Imóveis Rurais) através do Quilombo Legal  projeto criado pelo nosso governador <redacted_mention> secretário da SDR. Essa ação permitirá que as famílias acessem mais políticas públicas.  As entregas foram feitas nas comunidades  onde discutimos a importância do CEFIR para o fortalecimento territorial  proteção ambiental e valorização cultural. Seguimos  com <redacted_mention>  levando dignidade  cidadania e se fazendo presentes na vida dos nossos agricultores familiares.  #GovernodaBahia,,0,2,0,https://www.instagram.com/osnicardoso13,2024-06-29T16:33:47-07:00
Canal Rural,canalrural,"Diante da maior catástrofe ambiental da história do Rio Grande do Sul  que afetou quase 95% dos municípios do estado  o Instituto Desenvolve Pecuária está lançando um movimento para recuperar o setor pecuário gaúcho. A ideia do projeto é incentivar o consumo da carne local  dessa forma  oferecendo um produto de alta qualidade e também ajudando a fortalecer a economia do estado.  O tema foi discutido no quadro ""Raio-X da Pecuária""  que foi ao ar no telejornal Mercado & Cia e contou com a participação do vice-presidente do instituto  Ivan Faria.  ""A tragédia climática que atingiu o Rio Grande do Sul nos motivou a criar este projeto "" disse Faria. ""Nosso trabalho é agregar todas as forças de produção de pecuária  interagir com o mercado e fortalecer a relação com a cadeia  varejo e indústria""  acrescentou.  O impacto da catástrofe foi significativo  com perdas que continuam ocorrendo. ""Não é possível estimar as perdas para a pecuária gaúcha  pois elas ainda estão acontecendo "" afirmou Faria.  Leia mais no nosso portal.",Enchente - Rio Grande do Sul,212,1,106,https://www.instagram.com/canalrural,2024-06-29T15:10:21-07:00
Esquerda Online,esquerdaonline,Os custos da lavagem verde no Rio Grande do Sul Por Renata Padilha  de Porto Alegre (RS)  Cresci no bairro Restinga  extremo sul de Porto Alegre  bairro periférico que  desde a sua existência  conquistou o que tem hoje através da mobilização das pessoas. Acredito que muito do que sou hoje  está ligado com a força  a organização e a busca pela justiça que vi  vivi e vejo no meu bairro. Ser da Restinga me fez ativista climática. Desde pequena  os ventos fortes e a chuva têm sido um sinônimo de medo na minha família. Quando víamos aquelas nuvens carregadas se aproximando  já sabíamos que ficaríamos dias e dias sem água e sem luz em casa. Cresci em um bairro que  quando chovia  não tinha água quente para meu pai tomar banho quando chegava cansado em casa do trabalho. A água  por muitas vezes  tinha gosto de cloro. E as sacolas de mercado tinham duas funções: usarmos na lixeira e ensacarmos nossos pés para sair de casa nas ruas alagadas.  Felizmente  tive acesso a educação ambiental na escola. Através das aulas sobre meio ambiente e aquecimento global  das caminhadas ecológicas na escola e dos projetos incentivados pelo meu professor Jorge Leão no Ildo Meneghetti  cresci já sabendo que eu queria trabalhar com questões ambientais e trazer melhorias para a população. Na época  não existia um nome para definir o que eu estava buscando  hoje conhecemos aquele sentimento como ‘Justiça Climática’.  Leia no Esquerda Online pelo link na bio ou pelos stories.,Enchente - Rio Grande do Sul,149,8,74,https://www.instagram.com/esquerdaonline/p/C8zqW-9Me75/?locale=zh_tw&hl=am-et,2024-06-29T10:00:32-07:00
Ybyrá 🌳🌎♻️,ybyraorg,"📚""O Senado aprovou o projeto de lei PL 6.230/2023  que inclui mudanças climáticas e proteção da biodiversidade na educação ambiental nas escolas brasileiras. O objetivo é incorporar esses temas aos projetos pedagógicos da educação básica e superior  promovendo atividades relacionadas a riscos e emergências socioambientais. 🌿   A iniciativa  que agora segue para sanção  visa preparar os estudantes para enfrentar situações extremas  como as enchentes que afetaram o Rio Grande do Sul. “A política nacional de educação ambiental está sendo aprimorada para incluir tudo isso em um debate interdisciplinar para preparar a população para uma nova realidade  um novo normal”  disse o relator do projeto  o senador Flávio Arns. 🌎 <redacted_mention>  #educaçãoambiental #mudançasclimáticas #biodiversidade #ensinopúblico #educação",Enchente - Rio Grande do Sul,138,6,69,https://www.instagram.com/ybyraorg,2024-06-29T09:01:25-07:00
Mateus Trojan,mateusgtrojan,Se os levantamentos e projetos sobre o rio Taquari e toda bacia tivessem sido tratados com a prioridade necessária nos últimos anos e décadas  hoje já poderíamos ter ações concretas. Apesar disso  que de agora em diante não se perca mais tempo! Alertamos isso desde os primeiros dias após a enchente de setembro!  E hoje  foi dia de eventos importantes para debater os avanços “macro” do rio Taquari e da Bacia Taquari/Antas. Em Pelotas  estive apresentando um painel no 2° WorkShop ESG e Sustentabilidade  me posicionando perante autoridades e especialistas da área sobre a urgência nas ações.   Em Caxias do Sul  em mais um momento do Comitê da Bacia Taquari/Antas  fui representado pelo vice-prefeito Amarildo  juntamente com o assessor jurídico Lucas e o engenheiro ambiental Douglas. Feliz em ver que agora  depois de dezenas de reuniões e momentos  começa a haver adesão em massa das lideranças e autoridades na discussão desse tema.  Não podemos deixar essa demanda esfriar até conseguirmos  de fato  concretizar resultados. O caminho pode ser longo  mas não parar de caminhar é o fundamental.,Enchente - Rio Grande do Sul,613,26,306,https://www.instagram.com/mateusgtrojan,2024-06-28T17:31:58-07:00
Rádio Caxias,radiocaxias,A recente tragédia ambiental que se abateu sob o Rio Grande do Sul  causada pelas chuvas intensas e inundações  afetou não apenas os seres humanos  mas também milhares de animais. A presidente da Organização Não Governamental (ONG)  Grupo de Resposta a Animais em Desastres (Grad)  Carla Sássi   garante que  desde o início  a estrutura para lidar com a quantidade de animais resgatados tem sido um desafio. Ela também pondera que nenhum lugar no mundo estaria  totalmente  preparado para receber tantos animais  de forma simultânea  e num curto espaço de tempo. Afinal  só em Canoas  atualmente  estão alocados cerca de 1 6 mil animais. Porém   Carla garante que esse número teria chegado a 15 mil  em todo o Estado.  Portanto  na opinião da entrevistada  para enfrentar esses desafios é preciso políticas públicas mais abrangentes  investimento em infraestrutura e  ainda  a conscientização contínua sobre a importância da adoção responsável e da saúde desses animais.  Acesse o link na bio e leia a notícia completa no site da Rádio Caxias. 👆 (Foto: Divulgação/GRAD),Enchente - Rio Grande do Sul,119,0,60,https://www.instagram.com/radiocaxias/p/C8wu5XoONKT/,2024-06-28T06:42:27-07:00
Empresa Brasil de Comunicação,ebc,AJUDA AO RS | De acordo com o Ministério do Trabalho  17.485 empresas atingidas pela tragédia ambiental aderiram ao Programa Emergencial de Apoio Financeiro para os trabalhadores do Rio Grande do Sul. O programa vai pagar duas parcelas no valor de um salário mínimo cada (R$ 1.412 00). Em contrapartida  as empresas contempladas não poderão demitir por quatro meses.  Na próxima quarta-feira (03)  os trabalhadores poderão consultar a habilitação e o pagamento do Apoio Financeiro através do aplicativo da Carteira de Trabalho Digital.  Acompanhe as redes da EBC.,Enchente - Rio Grande do Sul,196,6,98,https://www.instagram.com/p/C8xbrF7xH47/,2024-06-28T04:05:21-07:00
Outra Coisa,outracoisapgm,Imprensa consegue ver queimada com otimismo: Para a Folha de S.Paulo  a chegada do PT ao poder trouxe “sensatez” ambiental  mas ainda não deu resultado.  #outracoisa #revistaoeste #umbrellamidia #foryou #foryourpage,Imprensa e redes sociais,1692,33,846,https://www.instagram.com/outracoisapgm,2024-06-27T12:58:54-07:00
Xepa Ativismo,xepaativismo,Com as fortes chuvas que abalaram todo o Rio Grande do Sul vimos diversas reportagens mostrando o prejuízo financeiro dos produtores de carne  que perderam animais e espaço físico para a criação pecuária  numa tentativa de sensibilizar as pessoas através do impacto econômico que o estado vai ter por conta da “tragédia” causada pelas enchentes. Esse é um discurso totalmente enviesado que não debate o problema a fundo. O Rio Grande do Sul é um estado que se notabiliza pela produção do setor pecuarista  sendo um dos maiores produtores de carne do Brasil e a pecuária é a vilã de si mesma: num ciclo vicioso  todo o impacto ambiental causado por esse tipo de produção acaba se voltando contra os lugares de maior exploração ambiental.  A luta de classes no Brasil é diretamente marcada pelo avanço do agronegócio e a burguesia  nacional e internacional  sempre se beneficiou dos diversos ciclos de exploração das nossas riquezas naturais. Mesmo não se tratando de políticas revolucionárias  a industrialização do país e melhoria das condições de vida da classe trabalhadora são barradas  pois é necessário nos manter na posição de agro exportadores  desde sempre. Porém  é preciso entender que o Rio Grande do Sul  e o Brasil  não são agroexportadores por ser esse o melhor modelo de produção  ou por ser nossa missão divina alimentar o mundo. O sistema capitalista cria demandas e a burguesia agrária local nos impõe um modelo de produção que  enquanto supre as demandas de carne de uma parte privilegiada da população mundial  concentra terra e riquezas nas mãos de poucos e deixa a conta ambiental e social para a população pagar.  O impacto ambiental causado pela produção de carne é uma das razões que explica a oposição do veganismo ao consumo de outros animais  mas nossa reflexão vai muito além. Entender o debate sobre consumo de produtos de origem animal no Brasil é entender nosso contexto histórico.   Leia a íntegra na coluna da <redacted_mention> em midianinja.org,Enchente - Rio Grande do Sul,945,21,472,https://www.instagram.com/tvcultura/p/C6rYPBzO0Kc/?igsh=eTI2cXk5eWZ5bmVm&img_index=4,2024-06-27T10:00:15-07:00
Quilombo Periférico,quilomboperiferico,Nas nossas quebradas  o excesso de lixo  o esgoto a céu aberto e a falta de combate às enchentes não são acidentes❗  É projeto e reflexo de um sistema racista que ignora nossa saúde e bem-estar. O “descaso” com o meio ambiente nas periferias é racismo ambiental.  Se liga no papo reto que a nossa vereadora Elaine Mineiro mandou sobre esse assunto no podcast “Periferia no Ar” ✊🏾 #RacismoAmbiental #QuebradasResistem #JustiçaParaTodos #MandataColetiva #QuilomboPeriférico #PSOL #SaoPaulo,Racismo ambiental,92,6,46,https://www.instagram.com/quilomboperiferico,2024-06-26T08:08:18-07:00
